,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP40M,AST/TO,RK,YEAR
19,"Michael Vogler, G",TROY,29,31.5,169,5.8,78,2.7,7.4,2.17,20,2009
20,"Aaron Jackson, G",DUQ,33,36.5,190,5.8,97,2.9,6.3,1.96,21,2009
21,"Stephen Curry, G",DAV,32,33.5,181,5.7,113,3.5,6.7,1.60,22,2009
22,"Nick Weiermiller, G",TRGV,27,35.7,152,5.6,83,3.1,6.3,1.83,23,2009
23,"Byron Eaton, G",OKST,33,31.4,182,5.5,114,3.5,7.0,1.60,24,2009
24,"Cedric Jackson, G",CLEV,35,33.1,190,5.4,126,3.6,6.6,1.51,25,2009
25,"Anthony Nelson, G",NIAG,33,33.9,179,5.4,72,2.2,6.4,2.49,26,2009
26,"Tyrese Rice, G",BC,32,33.3,172,5.4,119,3.7,6.4,1.45,27,2009
27,"Cameron Tyler, G",FDU,30,35.4,160,5.3,129,4.3,6.0,1.24,28,2009
28,"Corey Jefferson, G",TXST,30,26.9,159,5.3,56,1.9,7.9,2.84,29,2009
29,"Chester Frazier, G",ILL,31,33.2,164,5.3,68,2.2,6.4,2.41,30,2009
30,"Amir Johnson, G",RAD,32,36.3,169,5.3,106,3.3,5.8,1.59,31,2009
31,"A.J. Rompza, G",UCF,29,26.5,150,5.2,63,2.2,7.8,2.38,32,2009
32,"Brandon Ewing, G",WYO,32,38.3,164,5.1,86,2.7,5.4,1.91,33,2009
33,"Dominic James, G",MARQ,28,31.9,143,5.1,53,1.9,6.4,2.70,34,2009
34,"Mark Payne, G",UCD,29,33.1,148,5.1,63,2.2,6.2,2.35,35,2009
35,"Terrence Williams, F",LOU,33,34.0,168,5.1,78,2.4,6.0,2.15,36,2009
36,"Jeremy Pargo, G",GONZ,31,29.8,157,5.1,77,2.5,6.8,2.04,37,2009
37,"Greivis Vasquez, G",MD,33,34.5,167,5.1,93,2.8,5.9,1.80,38,2009
38,"Cale Nelson, G",SFU,29,33.6,146,5.0,89,3.1,6.0,1.64,39,2009
39,"Alex Renfroe, G",BEL,31,30.2,156,5.0,115,3.7,6.7,1.36,40,2009
40,"Tory Jackson, G",ND,32,33.9,161,5.0,78,2.4,5.9,2.06,41,2009
41,"Sherron Collins, G",KU,32,34.9,161,5.0,107,3.3,5.8,1.50,42,2009
42,"Diante Garrett, G",ISU,32,32.9,161,5.0,97,3.0,6.1,1.66,43,2009
43,"Delrico Lane, G",UTM,31,28.1,155,5.0,78,2.5,7.1,1.99,44,2009
44,"Brian Johnson, G",DEL,32,34.3,159,5.0,78,2.4,5.8,2.04,45,2009
45,"Iman Shumpert, G",GT,31,31.6,154,5.0,116,3.7,6.3,1.33,46,2009
46,"Zack Rosen, G",PENN,28,31.1,139,5.0,70,2.5,6.4,1.99,47,2009
47,"Darren Collison, G",UCLA,33,31.5,163,4.9,79,2.4,6.3,2.06,48,2009
48,"Jerome Randle, G",CAL,32,35.1,158,4.9,92,2.9,5.6,1.72,49,2009
49,"Eugene Harvey, G",HALL,32,34.0,158,4.9,92,2.9,5.8,1.72,50,2009
50,"DeAndre Bray, G",JVST,28,29.6,138,4.9,64,2.3,6.7,2.16,51,2009
51,"Jermaine Bolden, G",MORG,34,33.5,166,4.9,92,2.7,5.8,1.80,52,2009
52,"Talor Battle, G",PSU,33,37.1,161,4.9,79,2.4,5.3,2.04,53,2009
53,"Scott Machado, G",IONA,31,27.0,150,4.8,104,3.4,7.2,1.44,54,2009
54,"Shemik Thompson, G",CCSU,28,34.6,135,4.8,106,3.8,5.6,1.27,55,2009
55,"T.J. Campbell, G",PORT,31,30.7,149,4.8,82,2.6,6.3,1.82,56,2009
56,"Mike Trimboli, G",UVM,30,35.3,144,4.8,83,2.8,5.4,1.73,57,2009
57,"Dave Singleton, G",HP,30,27.1,144,4.8,108,3.6,7.1,1.33,58,2009
58,"Alex Tucker, G",FAU,29,29.6,139,4.8,90,3.1,6.5,1.54,59,2009
59,"Derek Glasser, G",ASU,32,32.7,153,4.8,69,2.2,5.9,2.22,60,2009
60,"Spencer Stewart, G",UIC,25,28.0,119,4.8,76,3.0,6.8,1.57,61,2009
61,"A.J. Price, G",CONN,30,31.7,142,4.7,79,2.6,6.0,1.80,62,2009
62,"Justin Graham, G",SJSU,30,33.9,142,4.7,112,3.7,5.6,1.27,63,2009
63,"Jio Fontan, G",FOR,28,34.6,132,4.7,102,3.6,5.4,1.29,64,2009
64,"Anthony Thomas, G",BSU,31,30.4,146,4.7,100,3.2,6.2,1.46,65,2009
65,"Nate Rohnert, G-F",DEN,31,37.0,146,4.7,105,3.4,5.1,1.39,66,2009
66,"Curtis Jerrells, G",BAY,34,34.6,160,4.7,105,3.1,5.4,1.52,67,2009
67,"Daniel Hackett, G",USC,33,37.2,155,4.7,108,3.3,5.1,1.44,68,2009
68,"Jeremy Wise, G",USM,32,35.7,150,4.7,102,3.2,5.3,1.47,69,2009
69,"Kaylon Williams, G",EVAN,30,29.3,140,4.7,76,2.5,6.4,1.84,70,2009
70,"Taylor Rochestie, G",WSU,32,36.7,149,4.7,73,2.3,5.1,2.04,71,2009
71,"Deonta Vaughn, G",CIN,32,35.8,149,4.7,107,3.3,5.2,1.39,72,2009
72,"Christopher Jones, G",PV,33,32.9,153,4.6,74,2.2,5.6,2.07,73,2009
73,"Demetri McCamey, G",ILL,33,30.4,152,4.6,79,2.4,6.1,1.92,74,2009
74,"Darryl Shazier, G",BUCK,30,36.1,138,4.6,67,2.2,5.1,2.06,75,2009
75,"Emanuel Mayben, G",BING,31,33.0,142,4.6,104,3.4,5.6,1.37,76,2009
76,"Nic Wise, G",ARIZ,32,36.3,146,4.6,90,2.8,5.0,1.62,77,2009
77,"Chase Adams, G",CENT,31,34.5,141,4.5,63,2.0,5.3,2.24,78,2009
78,"Devan Downey, G",SC,30,32.9,136,4.5,102,3.4,5.5,1.33,79,2009
79,"Rodney Foster, G",RICE,32,31.7,145,4.5,80,2.5,5.7,1.81,80,2009
80,"Garrett Williamson, G",JOES,32,34.1,145,4.5,72,2.3,5.3,2.01,81,2009
81,"Brian Rudolph, G",L-MD,32,30.8,145,4.5,78,2.4,5.9,1.86,82,2009
82,"J.P. Primm, G",UNCA,31,27.6,139,4.5,92,3.0,6.5,1.51,83,2009
83,"Darius James, G",ODU,31,31.7,138,4.5,64,2.1,5.6,2.16,84,2009
84,"Mitch Johnson, G",STAN,29,29.1,129,4.4,71,2.4,6.1,1.82,85,2009
85,"Kalin Lucas, G",MSU,32,31.9,142,4.4,66,2.1,5.6,2.15,86,2009
86,"Chad Tomko, G",UNCW,32,31.9,142,4.4,87,2.7,5.6,1.63,87,2009
87,"Jacques Streeter, G",CSF,32,32.5,142,4.4,60,1.9,5.5,2.37,88,2009
88,"Jaytornah Wisseh, G",LIU,30,34.8,133,4.4,96,3.2,5.1,1.39,89,2009
89,"P.J. Turner, G",TRGV,21,27.7,93,4.4,71,3.4,6.4,1.31,90,2009
90,"Manny Harris, G",MICH,33,33.2,145,4.4,105,3.2,5.3,1.38,91,2009
91,"James Hett, G",MONM,28,30.2,123,4.4,57,2.0,5.8,2.16,92,2009
92,"Derrick Mercer, G",AMER,31,37.2,136,4.4,68,2.2,4.7,2.00,93,2009
93,"Hernst Laroche, G",NMSU,32,30.8,139,4.3,56,1.8,5.6,2.48,94,2009
94,"Dee Bost, G",MSST,35,31.6,152,4.3,100,2.9,5.5,1.52,95,2009
95,"London Warren, G",DAY,33,21.2,143,4.3,62,1.9,8.2,2.31,96,2009
96,"Junard Hartley, G",CAMP,30,24.5,130,4.3,71,2.4,7.1,1.83,97,2009
97,"Travis Holmes, G",VMI,27,31.5,117,4.3,81,3.0,5.5,1.44,98,2009
98,"Tasheed Carr, G",JOES,31,34.9,134,4.3,78,2.5,5.0,1.72,99,2009
99,"Joe Dukes, G",GAST,31,32.1,134,4.3,83,2.7,5.4,1.61,100,2009
0,"Ronald Moore, G",SIE,33,35.9,256,7.8,96,2.9,8.6,2.67,1,2010
1,"Demetri McCamey, G",ILL,33,34.1,223,6.8,112,3.4,7.9,1.99,2,2010
2,"Johnathon Jones, G",OAK,34,36.7,219,6.4,105,3.1,7.0,2.09,3,2010
3,"John Wall, G",UK,33,35.0,210,6.4,133,4.0,7.3,1.58,4,2010
4,"Greivis Vasquez, G",MD,31,33.7,194,6.3,106,3.4,7.4,1.83,5,2010
5,"Tweety Carter, G",BAY,28,36.4,171,6.1,75,2.7,6.7,2.28,6,2010
6,"Ish Smith, G",WAKE,29,36.7,174,6.0,84,2.9,6.5,2.07,7,2010
7,"Larry Drew II, G",UNC,32,28.3,191,6.0,102,3.2,8.5,1.87,8,2010
8,"Junard Hartley, G",CAMP,30,29.9,178,5.9,93,3.1,7.9,1.91,9,2010
9,"Evan Turner, G-F",OSU,28,35.4,166,5.9,117,4.2,6.7,1.42,10,2010
10,"Ronnie Moss, G",TCU,32,33.5,189,5.9,120,3.8,7.1,1.58,11,2010
11,"Raymond Taylor, G",FAU,30,32.7,177,5.9,93,3.1,7.2,1.90,12,2010
12,"D.J. Cooper, G",OHIO,35,35.3,205,5.9,92,2.6,6.6,2.23,13,2010
13,"O.J. Avworo, G",NAVY,29,34.0,169,5.8,82,2.8,6.9,2.06,14,2010
14,"Joey Rodriguez, G",VCU,31,32.9,180,5.8,79,2.5,7.1,2.28,15,2010
15,"Amir Johnson, G",RAD,29,33.1,166,5.7,68,2.3,6.9,2.44,16,2010
16,"Jaytornah Wisseh, G",LIU,29,36.0,165,5.7,122,4.2,6.3,1.35,17,2010
17,"Frank Turner, G",CAN,32,38.3,182,5.7,106,3.3,5.9,1.72,18,2010
18,"Marquis Hall, G",LEH,32,31.4,182,5.7,70,2.2,7.2,2.60,19,2010
19,"Armon Johnson, G",NEV,32,34.3,181,5.7,109,3.4,6.6,1.66,20,2010
20,"Vernon Teel, G",LMU,33,35.0,185,5.6,115,3.5,6.4,1.61,21,2010
21,"John Roberson, G",TTU,32,35.8,178,5.6,87,2.7,6.2,2.05,22,2010
22,"Michael Vogler, G",TROY,32,34.8,178,5.6,76,2.4,6.4,2.34,23,2010
23,"J.P. Primm, G",UNCA,31,31.5,172,5.5,116,3.7,7.0,1.48,24,2010
24,"Brock Young, G",ECU,31,34.9,171,5.5,134,4.3,6.3,1.28,25,2010
25,"T.J. Campbell, G",PORT,31,32.5,170,5.5,94,3.0,6.8,1.81,26,2010
26,"Willie Powers, G",GASO,32,32.4,175,5.5,118,3.7,6.8,1.48,27,2010
27,"Julyan Stone, G",UTEP,32,30.6,173,5.4,65,2.0,7.1,2.66,28,2010
28,"Mike Scott, G",FDU,32,35.8,173,5.4,117,3.7,6.0,1.48,29,2010
29,"Kevin White, G",UMES,32,34.2,172,5.4,132,4.1,6.3,1.30,30,2010
30,"Tory Jackson, G",ND,34,37.4,181,5.3,68,2.0,5.7,2.66,31,2010
31,"Mickey McConnell, G",SMC,31,35.8,165,5.3,69,2.2,5.9,2.39,32,2010
32,"John Boyer, G",BUFF,30,33.7,159,5.3,43,1.4,6.3,3.70,33,2010
33,"Dee Bost, G",MSST,34,34.9,178,5.2,113,3.3,6.0,1.58,34,2010
34,"Christopher Jones, G",PV,24,34.6,125,5.2,66,2.8,6.0,1.89,35,2010
35,"Mac Hopson, G",IDHO,30,30.9,155,5.2,95,3.2,6.7,1.63,36,2010
36,"Josh Slater, G",LIP,30,30.7,155,5.2,87,2.9,6.7,1.78,37,2010
37,"Kemba Walker, G",CONN,32,35.2,165,5.2,96,3.0,5.9,1.72,38,2010
38,"Derek Needham, G",FAIR,32,36.2,165,5.2,120,3.8,5.7,1.38,39,2010
39,"Diante Garrett, G",ISU,32,31.6,164,5.1,82,2.6,6.5,2.00,40,2010
40,"Preston Blackman, G",SAV,26,30.5,133,5.1,95,3.7,6.7,1.40,41,2010
41,"Chris De La Rosa, G",UMBC,30,33.6,153,5.1,70,2.3,6.1,2.19,42,2010
42,"Mikhail Torrance, G",ALA,32,32.6,162,5.1,86,2.7,6.2,1.88,43,2010
43,"Ashton Mitchell, G",SHSU,32,28.8,162,5.1,87,2.7,7.0,1.86,44,2010
44,"Kevin Dillard, G",SIU,29,28.9,146,5.0,72,2.5,7.0,2.03,45,2010
45,"Jon Scheyer, G",DUKE,34,36.6,170,5.0,58,1.7,5.5,2.93,46,2010
46,"Anthony Nelson, G",NIAG,33,35.4,165,5.0,86,2.6,5.7,1.92,47,2010
47,"Andy Rautins, G",SYR,32,32.3,159,5.0,88,2.8,6.1,1.81,48,2010
48,"Tommy Mason-Griffin, G",OKLA,31,35.7,154,5.0,87,2.8,5.6,1.77,49,2010
49,"Brandon Shingles, G",MORE,30,28.1,148,4.9,72,2.4,7.0,2.06,50,2010
50,"Erving Walker, G",FLA,33,32.6,162,4.9,78,2.4,6.0,2.08,51,2010
51,"Jesse Sanders, G",LIB,31,32.3,152,4.9,101,3.3,6.1,1.50,52,2010
52,"Desmond Wade, G",HOU,34,26.8,166,4.9,62,1.8,7.3,2.68,53,2010
53,"Spencer Stewart, G",UIC,25,32.5,122,4.9,79,3.2,6.0,1.54,54,2010
54,"Jawan Carter, G",DEL,31,39.2,151,4.9,93,3.0,5.0,1.62,55,2010
55,"Aaron Johnson, G",UAB,31,35.6,150,4.8,82,2.6,5.4,1.83,56,2010
56,"Aamir McCleary, G",SIUE,24,30.9,116,4.8,84,3.5,6.3,1.38,57,2010
57,"Keegan Bell, G",CHAT,33,29.7,159,4.8,93,2.8,6.5,1.71,58,2010
58,"Casper Ware, G",LBSU,33,33.2,159,4.8,102,3.1,5.8,1.56,59,2010
59,"Michael Glasker, G",NCCU,26,34.1,125,4.8,89,3.4,5.6,1.40,60,2010
60,"Justin Graham, G",SJSU,31,35.2,149,4.8,96,3.1,5.5,1.55,61,2010
61,"Louis Dale, G",COR,28,28.0,134,4.8,60,2.1,6.8,2.23,62,2010
62,"Oscar Bellfield, G",UNLV,33,28.2,157,4.8,65,2.0,6.8,2.42,63,2010
63,"Derek Glasser, G",ASU,32,32.8,152,4.8,69,2.2,5.8,2.20,64,2010
64,"Jacques Streeter, G",CSF,31,34.9,147,4.7,72,2.3,5.4,2.04,65,2010
65,"Dominic Waters, G",PRST,32,33.7,151,4.7,113,3.5,5.6,1.34,66,2010
66,"Jimmer Fredette, G",BYU,32,30.5,151,4.7,83,2.6,6.2,1.82,67,2010
67,"John Ashworth, G",IUPU,34,32.8,160,4.7,71,2.1,5.7,2.25,68,2010
68,"Alex Tucker, G",FAU,30,25.6,141,4.7,63,2.1,7.3,2.24,69,2010
69,"James Hett, G",MONM,31,32.6,145,4.7,62,2.0,5.7,2.34,70,2010
70,"Clevin Hannah, G",WICH,31,29.9,145,4.7,64,2.1,6.3,2.27,71,2010
71,"Courtney Stanley, G",L-IL,30,31.5,140,4.7,102,3.4,5.9,1.37,72,2010
72,"Brad Wanamaker, G",PITT,32,32.4,149,4.7,87,2.7,5.7,1.71,73,2010
73,"Damier Pitts, G",MRSH,29,27.2,135,4.7,72,2.5,6.9,1.88,74,2010
74,"Ben Uzoh, G",TLSA,34,34.4,158,4.6,78,2.3,5.4,2.03,75,2010
75,"A.J. Rompza, G",UCF,31,31.5,144,4.6,65,2.1,5.9,2.22,76,2010
76,"DiJuan Harris, G",CHAR,31,33.4,143,4.6,66,2.1,5.5,2.17,77,2010
77,"Darington Hobson, G",UNM,33,33.5,152,4.6,98,3.0,5.5,1.55,78,2010
78,"Eugene Harvey, G",HALL,29,25.7,133,4.6,69,2.4,7.2,1.93,79,2010
79,"Jerrell Thompson, G",SHU,29,29.8,133,4.6,69,2.4,6.2,1.93,80,2010
80,"Kendall Cutler, G",SDAK,29,25.2,133,4.6,89,3.1,7.3,1.49,81,2010
81,"James Florence, G",MER,31,33.1,142,4.6,116,3.7,5.5,1.22,82,2010
82,"Steven Shepp, G",FRES,32,30.6,146,4.6,71,2.2,6.0,2.06,83,2010
83,"Vincent Council, G",PROV,31,27.6,141,4.5,73,2.4,6.6,1.93,84,2010
84,"Matthew Dellavedova, G",SMC,31,36.1,141,4.5,59,1.9,5.0,2.39,85,2010
85,"Edgar Sosa, G",LOU,32,27.5,145,4.5,85,2.7,6.6,1.71,86,2010
86,"Mike Douglas, G",WMU,33,27.4,149,4.5,82,2.5,6.6,1.82,87,2010
87,"Reggie Jackson, G",BC,31,30.1,139,4.5,80,2.6,6.0,1.74,88,2010
88,"Scoop Jardine, G",SYR,32,22.1,143,4.5,61,1.9,8.1,2.34,89,2010
89,"Elijah Muhammad, G",TNTC,32,32.1,143,4.5,100,3.1,5.6,1.43,90,2010
90,"Devin Gibson, G",UTSA,30,35.1,134,4.5,70,2.3,5.1,1.91,91,2010
91,"Jerome Randle, G",CAL,33,34.7,147,4.5,117,3.5,5.1,1.26,92,2010
92,"Dominique Shellman, G",JVST,29,25.5,129,4.4,87,3.0,7.0,1.48,93,2010
93,"Sherron Collins, G",KU,34,32.8,151,4.4,79,2.3,5.4,1.91,94,2010
94,"Glen Dean, G",EWU,30,30.3,133,4.4,100,3.3,5.9,1.33,95,2010
95,"Jeremy Lin, G",HARV,28,32.1,124,4.4,88,3.1,5.5,1.41,96,2010
96,"Zack Rosen, G",PENN,28,37.1,124,4.4,92,3.3,4.8,1.35,97,2010
97,"Norris Cole, G",CLEV,33,34.2,146,4.4,91,2.8,5.2,1.60,98,2010
98,"Ben Hansbrough, G",ND,34,35.3,150,4.4,62,1.8,5.0,2.42,99,2010
99,"Brigham Waginger, G",WCU,33,34.0,145,4.4,64,1.9,5.2,2.27,100,2010
0,"Aaron Johnson, G",UAB,30,36.4,232,7.7,104,3.5,8.5,2.23,1,2011
1,"D.J. Cooper, G",OHIO,33,35.6,249,7.5,113,3.4,8.5,2.20,2,2011
2,"Scott Machado, G",IONA,33,34.2,248,7.5,118,3.6,8.8,2.10,3,2011
3,"Hank Thorns, G",TCU,32,33.8,225,7.0,83,2.6,8.3,2.71,4,2011
4,"Darius Morris, G",MICH,33,34.9,220,6.7,99,3.0,7.6,2.22,5,2011
5,"Will Weathers, G",TROY,27,37.0,178,6.6,110,4.1,7.1,1.62,6,2011
6,"Zac Swansey, G",TNTC,32,32.8,207,6.5,113,3.5,7.9,1.83,7,2011
7,"Kevin Galloway, F",TXSO,31,37.2,192,6.2,158,5.1,6.7,1.22,8,2011
8,"Diante Garrett, G",ISU,32,36.7,195,6.1,106,3.3,6.6,1.84,9,2011
9,"Chris Long, G",ELON,31,33.7,188,6.1,69,2.2,7.2,2.72,10,2011
10,"Nate Wolters, G",SDST,31,33.2,188,6.1,69,2.2,7.3,2.72,11,2011
11,"Demetri McCamey, G",ILL,32,33.3,194,6.1,90,2.8,7.3,2.16,12,2011
12,"Mickey McConnell, G",SMC,33,36.9,200,6.1,78,2.4,6.6,2.56,13,2011
13,"Chris De La Rosa, G",UMBC,30,35.8,181,6.0,85,2.8,6.7,2.13,14,2011
14,"Isaiah Thomas, G",WASH,33,31.8,198,6.0,99,3.0,7.6,2.00,15,2011
15,"Jay Threatt, G",DSU,30,35.7,179,6.0,67,2.2,6.7,2.67,16,2011
16,"Brandyn Curry, G",HARV,29,33.9,172,5.9,75,2.6,7.0,2.29,17,2011
17,"Vincent Council, G",PROV,32,36.3,189,5.9,106,3.3,6.5,1.78,18,2011
18,"Bryce Cartwright, G",IOWA,31,31.1,182,5.9,102,3.3,7.6,1.78,19,2011
19,"Kendall Marshall, G",UNC,33,23.4,191,5.8,81,2.5,9.9,2.36,20,2011
20,"Scoop Jardine, G",SYR,33,31.9,190,5.8,94,2.8,7.2,2.02,21,2011
21,"Chris Wroblewski, G",COR,26,32.7,149,5.7,71,2.7,7.0,2.10,22,2011
22,"Jesse Sanders, G",LIB,32,32.6,183,5.7,96,3.0,7.0,1.91,23,2011
23,"Keegan Bell, G",CHAT,32,34.5,182,5.7,77,2.4,6.6,2.36,24,2011
24,"Darryl Shazier, G",BUCK,33,31.9,185,5.6,49,1.5,7.0,3.78,25,2011
25,"Devin Gibson, G",UTSA,32,34.8,179,5.6,103,3.2,6.4,1.74,26,2011
26,"Stallon Saldivar, G",NAU,31,26.0,172,5.5,57,1.8,8.5,3.02,27,2011
27,"Juwan Staten, G",DAY,34,29.1,188,5.5,90,2.6,7.6,2.09,28,2011
28,"Dairese Gary, G",UNM,33,33.8,182,5.5,92,2.8,6.5,1.98,29,2011
29,"Tu Holloway, G",XAV,31,38.4,169,5.5,105,3.4,5.7,1.61,30,2011
30,"Zack Rosen, G",PENN,28,36.7,152,5.4,75,2.7,5.9,2.03,31,2011
31,"Julyan Stone, G",UTEP,34,36.6,183,5.4,63,1.9,5.9,2.90,32,2011
32,"Kaylon Williams, G",MILW,32,32.7,172,5.4,102,3.2,6.6,1.69,33,2011
33,"Jason Brickman, G",LIU,32,22.8,172,5.4,61,1.9,9.4,2.82,34,2011
34,"Marlon Rivera, G",FGCU,30,31.8,161,5.4,114,3.8,6.8,1.41,35,2011
35,"Chris Wright, G",GTWN,28,32.8,150,5.4,80,2.9,6.5,1.88,36,2011
36,"Reggie Hamilton, G",OAK,34,28.7,182,5.4,125,3.7,7.5,1.46,37,2011
37,"Frankie Dobbs, G",BRY,30,36.6,160,5.3,85,2.8,5.8,1.88,38,2011
38,"Aleek Pauline, G",NORF,31,36.2,165,5.3,111,3.6,5.9,1.49,39,2011
39,"Norris Cole, G",CLEV,34,35.6,179,5.3,93,2.7,5.9,1.92,40,2011
40,"Peyton Siva, G",LOU,34,27.9,179,5.3,96,2.8,7.5,1.86,41,2011
41,"Shemik Thompson, G",CCSU,31,33.1,163,5.3,86,2.8,6.4,1.90,42,2011
42,"Sean McGonagill, G",BRWN,28,33.3,147,5.3,88,3.1,6.3,1.67,43,2011
43,"Matthew Dellavedova, G",SMC,33,35.2,173,5.2,78,2.4,6.0,2.22,44,2011
44,"Nolan Smith, G",DUKE,34,34.2,178,5.2,109,3.2,6.1,1.63,45,2011
45,"Kevin White, G",UMES,31,30.5,162,5.2,104,3.4,6.9,1.56,46,2011
46,"Perry Webster, G",CSF,30,29.8,155,5.2,58,1.9,6.9,2.67,47,2011
47,"Junard Hartley, G",CAMP,31,33.9,160,5.2,98,3.2,6.1,1.63,48,2011
48,"Brad Wanamaker, G",PITT,32,30.3,164,5.1,72,2.3,6.8,2.28,49,2011
49,"Anthony Nelson, G",NIAG,29,37.3,147,5.1,105,3.6,5.4,1.40,50,2011
50,"Tim Frazier, G",PSU,33,30.5,166,5.0,79,2.4,6.6,2.10,51,2011
51,"Randy Davis, G",BALL,32,29.8,160,5.0,87,2.7,6.7,1.84,52,2011
52,"Mike Douglas, G",WMU,32,31.6,160,5.0,72,2.3,6.3,2.22,53,2011
53,"Ray McCallum, G",DET,33,33.3,161,4.9,85,2.6,5.9,1.89,54,2011
54,"Ryan White, G",TXST,32,29.5,155,4.8,94,2.9,6.6,1.65,55,2011
55,"Caleb Brown, G",PEAY,33,31.0,158,4.8,98,3.0,6.2,1.61,56,2011
56,"C.J. Reed, G",COOK,33,38.7,158,4.8,98,3.0,4.9,1.61,57,2011
57,"Sultan Toles-Bey, G",SAC,28,36.0,134,4.8,100,3.6,5.3,1.34,58,2011
58,"Corey Fisher, G",NOVA,32,33.3,153,4.8,72,2.3,5.7,2.13,59,2011
59,"La'Shard Anderson, G",BSU,32,32.7,153,4.8,97,3.0,5.9,1.58,60,2011
60,"Joey Rodriguez, G",VCU,34,33.4,162,4.8,79,2.3,5.7,2.05,61,2011
61,"Charles Jenkins, G",HOF,32,37.4,152,4.8,70,2.2,5.1,2.17,62,2011
62,"Jordan Taylor, G",WIS,31,36.2,147,4.7,35,1.1,5.2,4.20,63,2011
63,"A.J. Walton, G",BAY,30,33.0,142,4.7,101,3.4,5.7,1.41,64,2011
64,"Zamal Nixon, G",HOU,30,33.5,141,4.7,69,2.3,5.6,2.04,65,2011
65,"Drae Murray, G",SHSU,31,27.2,145,4.7,49,1.6,6.9,2.96,66,2011
66,"Carl Blair, G",OKLA,30,27.6,140,4.7,91,3.0,6.8,1.54,67,2011
67,"Tony Taylor, G",GW,31,33.4,144,4.6,81,2.6,5.6,1.78,68,2011
68,"Josh Slater, G",LIP,30,31.1,139,4.6,92,3.1,6.0,1.51,69,2011
69,"Hernst Laroche, G",NMSU,33,34.5,152,4.6,88,2.7,5.3,1.73,70,2011
70,"Lance Jeter, G",NEB,31,30.1,142,4.6,63,2.0,6.1,2.25,71,2011
71,"Antoine Young, G",CREI,33,35.9,151,4.6,68,2.1,5.1,2.22,72,2011
72,"Anthony Crater, G",USF,30,33.6,137,4.6,76,2.5,5.4,1.80,73,2011
73,"J.P. Primm, G",UNCA,32,33.0,146,4.6,99,3.1,5.5,1.47,74,2011
74,"Brian Voelkel, F",UVM,31,30.6,141,4.5,61,2.0,5.9,2.31,75,2011
75,"Ben Drayton III, G",GASO,32,37.0,145,4.5,113,3.5,4.9,1.28,76,2011
76,"Reggie Jackson, G",BC,32,34.0,145,4.5,73,2.3,5.3,1.99,77,2011
77,"Maalik Wayns, G",NOVA,32,30.0,145,4.5,89,2.8,6.0,1.63,78,2011
78,"Byron Mulkey, G",BUFF,31,35.0,140,4.5,77,2.5,5.2,1.82,79,2011
79,"Jorge Gutierrez, G",CAL,31,33.7,140,4.5,91,2.9,5.4,1.54,80,2011
80,"Derek Needham, G",FAIR,31,35.0,140,4.5,121,3.9,5.2,1.16,81,2011
81,"Brad Tinsley, G",VAN,33,32.5,149,4.5,63,1.9,5.6,2.37,82,2011
82,"Aaron Craft, G",OSU,34,29.5,153,4.5,73,2.1,6.1,2.10,83,2011
83,"Andrew Goudelock, G",COFC,34,34.9,152,4.5,104,3.1,5.1,1.46,84,2011
84,"Tyshawn Taylor, G",KU,32,27.0,143,4.5,86,2.7,6.6,1.66,85,2011
85,"Kendall Cutler, G",SDAK,31,25.0,138,4.5,75,2.4,7.1,1.84,86,2011
86,"Brandon Tunnell, G",HAMP,32,27.5,142,4.4,70,2.2,6.5,2.03,87,2011
87,"John Roberson, G",TTU,30,35.3,133,4.4,99,3.3,5.0,1.34,88,2011
88,"Brock Young, G",ECU,30,26.2,133,4.4,78,2.6,6.8,1.71,89,2011
89,"Zach Plackemeier, G",IPFW,30,34.5,133,4.4,54,1.8,5.1,2.46,90,2011
90,"Casper Ware, G",LBSU,33,34.8,146,4.4,99,3.0,5.1,1.47,91,2011
91,"Tyreek Duren, G",LAS,33,33.8,146,4.4,88,2.7,5.2,1.66,92,2011
92,"Justin Graham, G",SJSU,31,36.3,137,4.4,70,2.3,4.9,1.96,93,2011
93,"Jordan Theodore, G",HALL,31,30.2,137,4.4,83,2.7,5.8,1.65,94,2011
94,"Malcolm Armstead, G",ORE,32,27.5,141,4.4,88,2.8,6.4,1.60,95,2011
95,"Brian Rudolph, G",L-MD,30,30.0,132,4.4,63,2.1,5.9,2.10,96,2011
96,"Chris Johnson, G",SFU,30,29.6,132,4.4,93,3.1,5.9,1.42,97,2011
97,"Michael Porrini, G",KENT,34,32.0,149,4.4,98,2.9,5.5,1.52,98,2011
98,"Mike Scott, G",FDU,29,37.2,127,4.4,104,3.6,4.7,1.22,99,2011
99,"Jeremiah Bowman, G",LONG,30,30.5,130,4.3,78,2.6,5.7,1.67,100,2011
0,"Scott Machado, G",IONA,32,35.4,317,9.9,103,3.2,11.2,3.08,1,2012
1,"Kendall Marshall, G",UNC,34,33.0,330,9.7,94,2.8,11.8,3.51,2,2012
2,"Jesse Sanders, G",LIB,32,35.1,255,8.0,88,2.8,9.1,2.90,3,2012
3,"Vincent Council, G",PROV,31,38.7,231,7.5,109,3.5,7.7,2.12,4,2012
4,"Jason Brickman, G",LIU,33,34.3,242,7.3,127,3.8,8.5,1.91,5,2012
5,"Jeremiah Ostrowski, G",HAW,25,30.2,175,7.0,68,2.7,9.3,2.57,6,2012
