,Draft_Yr,Pk,Tm,PLAYER,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per_48,BPM,VORP
48,1990,47.0,PHI,Derek Strong,Xavier University,10,456,8548,3088,2213,291,0.43,0.18,0.786,18.7,6.8,4.9,0.6,18.5,0.104,-3.0,-2.3
49,1990,48.0,PHO,Cedric Ceballos,"California State University, Fullerton",11,609,14712,8693,3258,723,0.5,0.309,0.753,24.2,14.3,5.3,1.2,40.4,0.132,-0.4,6.0
50,1990,49.0,DAL,Phil Henderson,Duke University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1990,50.0,PHO,Milos Babic,Tennessee Technological University,2,21,87,37,20,10,0.375,0.0,0.65,4.1,1.8,1.0,0.5,-0.1,-0.028,-6.3,-0.1
52,1990,51.0,LAL,Tony Smith,Marquette University,9,457,7295,2504,735,881,0.431,0.307,0.69,16.0,5.5,1.6,1.9,6.7,0.044,-2.6,-1.1
53,1990,52.0,CLE,Stefano Rusconi,,1,7,30,8,6,3,0.333,0.0,0.4,4.3,1.1,0.9,0.4,-0.1,-0.104,-7.6,0.0
54,1990,53.0,SEA,Abdul Shamsid-Deen,Providence College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1990,54.0,SAS,Sean Higgins,University of Michigan,6,220,3334,1375,402,226,0.428,0.321,0.85,15.2,6.3,1.8,1.0,0.4,0.006,-5.2,-2.7
0,1991,1.0,CHH,Larry Johnson,"University of Nevada, Las Vegas",10,707,25685,11450,5300,2298,0.484,0.332,0.766,36.3,16.2,7.5,3.3,69.7,0.13,2.4,28.3
1,1991,2.0,NJN,Kenny Anderson,Georgia Institute of Technology,14,858,25868,10789,2641,5196,0.421,0.346,0.79,30.1,12.6,3.1,6.1,62.5,0.116,0.8,18.0
2,1991,3.0,SAC,Billy Owens,Syracuse University,10,600,17619,7026,4016,1704,0.481,0.291,0.629,29.4,11.7,6.7,2.8,28.6,0.078,0.5,11.2
3,1991,4.0,DEN,Dikembe Mutombo,Georgetown University,18,1196,36791,11729,12359,1240,0.518,0.0,0.684,30.8,9.8,10.3,1.0,117.0,0.153,2.1,38.2
4,1991,5.0,MIA,Steve Smith,Michigan State University,14,942,28855,13430,3060,2922,0.44,0.358,0.845,30.6,14.3,3.2,3.1,83.7,0.139,1.4,24.4
5,1991,6.0,DAL,Doug Smith,University of Missouri,5,296,5833,2356,1234,400,0.425,0.083,0.773,19.7,8.0,4.2,1.4,3.0,0.024,-3.0,-1.5
6,1991,7.0,MIN,Luc Longley,University of New Mexico,10,567,12006,4090,2794,836,0.462,0.0,0.76,21.2,7.2,4.9,1.5,17.5,0.07,-1.5,1.5
7,1991,8.0,DEN,Mark Macon,Temple University,6,251,5018,1685,467,428,0.384,0.27,0.735,20.0,6.7,1.9,1.7,0.1,0.001,-3.2,-1.5
8,1991,9.0,ATL,Stacey Augmon,"University of Nevada, Las Vegas",15,1001,21658,7990,3216,1561,0.469,0.152,0.728,21.6,8.0,3.2,1.6,43.8,0.097,-0.2,9.8
9,1991,10.0,ORL,Bison Dele,University of Arizona,8,413,10004,4536,2564,440,0.528,0.143,0.691,24.2,11.0,6.2,1.1,22.8,0.109,-0.3,4.4
10,1991,11.0,CLE,Terrell Brandon,University of Oregon,11,724,21545,9994,2174,4407,0.448,0.355,0.873,29.8,13.8,3.0,6.1,65.9,0.147,2.4,23.7
