,GP,MPG,TOPG,AP40M,RK_AST,STP40M,PF,RK_STL,BLKP40M,RK_BLK,PTS,FG%,3P%,FT%,RK_SCO,FGA,3PA,FTA,ORPG,DRPG,RP40,RK_REB,PLAYER,TEAM,allstar
119,2.0,31.0,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,22.5,0.563,0.667,0.583,39.0,16.0,1.5,6.0,1.5,9.5,14.2,30.0,Evan Bradds,BEL,False
120,3.0,31.7,1.0,8.0,32.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Everett Clemons,INST,False
121,3.0,21.7,2.0,11.1,47.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Frank Howard,SYR,False
122,3.0,36.7,2.0,6.2,61.0,0.0,0.0,121.0,0.0,121.0,23.0,0.478,0.2,0.767,34.0,15.3,3.3,10.0,0.0,0.0,0.0,121.0,Frank Mason III,KU,False
123,3.0,30.7,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.0,6.0,11.7,83.0,Franko House,BALL,False
124,3.0,19.7,0.0,0.0,121.0,0.0,11.0,121.0,4.07,94.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Fred Iruafemi,VMI,False
125,3.0,29.3,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,20.7,0.472,0.5,0.75,89.0,17.7,6.0,1.3,0.0,0.0,0.0,121.0,Fred Sims Jr.,CHS,False
126,1.0,26.0,1.0,9.2,52.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Galen Robinson Jr.,HOU,False
127,3.0,29.0,0.0,0.0,121.0,0.0,6.0,121.0,3.22,54.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Gary Clark,CIN,False
128,4.0,26.3,3.0,0.0,121.0,3.81,13.0,51.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Greg Pryor,CHAT,False
129,3.0,31.7,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.3,6.7,12.6,46.0,Haboubacar Mutombo,WCU,False
130,2.0,22.5,0.0,0.0,121.0,0.0,3.0,121.0,7.11,10.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Hanner Mosquera-Perea,ETSU,False
131,4.0,23.3,0.0,0.0,121.0,0.0,15.0,121.0,7.31,9.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Hassan Martin,URI,False
132,1.0,26.0,1.0,0.0,121.0,4.62,4.0,20.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Henry Caruso,PRIN,False
133,3.0,29.3,0.666666666667,7.7,60.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,I.J. Ready,MSST,False
134,4.0,30.8,2.75,0.0,121.0,2.93,8.0,96.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ian Baker,NMSU,False
135,2.0,36.5,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,6.0,4.5,11.5,34.0,Idris Taqqee,SBON,False
136,2.0,25.0,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,21.5,0.586,0.333,0.727,68.0,14.5,1.5,5.5,0.0,0.0,0.0,121.0,Ike Smith,GASO,False
137,3.0,30.7,2.33333333333,6.5,90.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Isaac Hamilton,UCLA,False
138,3.0,22.7,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.3,6.3,17.1,59.0,Isaac Neilson,UVU,False
139,2.0,24.5,1.0,0.0,121.0,4.08,7.0,55.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Isaac Thornton,SJSU,False
140,2.0,22.0,2.0,10.0,69.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Isaiah Nichols,SJSU,False
141,3.0,31.3,4.33333333333,0.0,121.0,3.4,4.0,38.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Isaiah Walton,LONG,False
142,4.0,35.0,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,22.0,0.642,0.4,0.667,46.0,13.3,3.8,5.3,0.0,0.0,0.0,121.0,J.R. Holder,JAC,False
143,3.0,28.7,2.33333333333,0.0,121.0,3.26,5.0,74.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Ja'Quan Newton,MIA,False
144,3.0,23.3,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,20.3,0.553,0.2,0.889,93.0,15.7,1.7,3.0,0.0,0.0,0.0,121.0,JaCorey Williams,MTSU,False
145,3.0,31.3,5.33333333333,9.8,10.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Jaaron Simmons,OHIO,False
146,3.0,33.0,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,22.3,0.629,0.444,0.789,44.0,11.7,6.0,6.3,0.0,0.0,0.0,121.0,Jacob Evans,CIN,False
147,2.0,21.5,0.0,11.2,50.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Jacob Van,AFA,False
148,3.0,26.7,2.0,0.0,121.0,3.5,9.0,72.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Jacobi Boykins,LT,False
149,4.0,23.5,0.0,0.0,121.0,0.0,9.0,121.0,4.26,42.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Jahir Cabeza,SAV,False
150,3.0,26.3,0.0,0.0,121.0,0.0,5.0,121.0,3.54,62.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Jaire Grayer,GMU,False
151,4.0,33.5,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,23.5,0.547,0.421,0.727,26.0,16.0,4.8,5.5,0.0,0.0,0.0,121.0,Jairus Lyles,UMBC,False
152,4.0,28.0,1.5,0.0,121.0,3.93,8.0,23.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Jajuan Johnson,MARQ,False
153,2.0,24.5,0.5,0.0,121.0,4.08,3.0,53.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Jake Kocher,AMCC,False
