,GP,MPG,TOPG,AP40M,RK_AST,STP40M,PF,RK_STL,BLKP40M,RK_BLK,PTS,FG%,3P%,FT%,RK_SCO,FGA,3PA,FTA,ORPG,DRPG,RP40,RK_REB,PLAYER,TEAM,allstar
18,28.0,27.8,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.0,4.8,11.2,105.0,Aaron Andrews,MORG,False
19,28.0,27.5,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,17.3,0.477,0.398,0.793,93.0,12.4,4.0,4.8,0.0,0.0,0.0,121.0,Aaron Bond,NAU,False
20,30.0,34.1,2.74678912784,5.23333333333,99.6666666667,0.0,0.0,121.0,0.0,121.0,17.6,0.458,0.407,0.829,73.0,13.1,5.7,4.0,0.0,0.0,0.0,121.0,Aaron Brooks,ORE,False
21,27.0,29.2,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,18.2,0.467,0.327,0.718,39.0,14.6,4.0,4.6,0.0,0.0,0.0,121.0,Aaron Broussard,SEA,False
22,28.0,34.8,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,18.2,0.471,0.399,0.828,58.0,13.0,6.2,4.1,0.0,0.0,0.0,121.0,Aaron Bruce,BAY,False
23,33.75,32.3,2.13881461676,5.7,84.0,2.7425,82.0,27.25,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Aaron Craft,OSU,False
24,28.6666666667,29.8333333333,3.49753694581,7.23333333333,50.6666666667,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Aaron Fitzgerald,PRST,False
25,33.0,25.7,0.0,0.0,121.0,0.0,75.0,121.0,2.73,67.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Aaron Fleetwood,DSU,False
26,32.0,28.05,0.0,0.0,121.0,0.0,83.0,121.0,2.36,81.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.65,6.5,14.4,15.0,Aaron Gray,PITT,False
27,33.0,36.5,2.93939393939,6.3,21.0,0.0,0.0,121.0,0.0,121.0,18.5,0.552,0.379,0.804,51.0,11.8,3.1,5.4,0.0,0.0,0.0,121.0,Aaron Jackson,DUQ,False
28,30.3333333333,34.8666666667,3.05591397849,6.95,28.5,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,4.0,5.9,12.2,14.0,Aaron Johnson,UAB,False
